,Job_Title,Company,Contract Type,Location,date,Job Type,description
0,Data analyst,Express Employment Professionals SA - Midrand,Permanent,Centurion,2 days ago,Full Time,"Job Specification;
Developing strategies for standardizing and consolidating processes using robust applications such as Alteryx and SQL/Snowflake to assist operations with NAV Reporting and Fund Accounting processes
Assist with the automation of manual tasks through the development and implementation of software solutions
Identify, develop and execute data analyses to monitor operational performance to increase efficiencies
Taking requests from Development Team to develop and maintain new and ongoing projects
Manage competing priorities, multiple work streams and meet tight deadlines
Created and executed Test Plan and Test Cases
Be able to be part of a Project Team by understanding project and business analysis processes
Technical Skills
Alteryx
Jira/Confluence
VBA and MS Excel
MySQL (Advantageous)
Snowflake (Advantageous)
Knowledge of Finance and Accounting (Advantageous)
Ensure adherence to Management Group Internal Controls standards, systems, and procedures and those appropriate standards are maintained in all aspects of operational risk which is endorsed by subsequent audits
Fully comply with all applicable laws and rules of any applicable regulators 
Communicate and escalate potential issues in a prompt and effective manner 
Adhere to the Management Group policies on conflicts of interest, personal account dealing and gifts and entertainment at all times
Report promptly any knowledge or suspicion of money laundering activities to the Company’s MLRO
Understand, follow and demonstrate compliance with all relevant internal and external rules, regulations, and procedures that apply to the conduct of the business 
Aware of the Operational Risks associated with your role and act in a manner that takes account of these risks and the relevant controls
Follow the Group’s Treating Customers Fairly (TCF) Policy
  Minimum Requirements;
Tertiary qualification in Information Systems or Computer Science or Finance and Accounting
An understanding of Investment Administration / Asset Management (preferable)
Skills in programming
Meeting project deadlines
Attending to requests and queries timeously
Follow-up and complete ongoing queries
High Attention to detail
Continues Process Improvement
Flexibility: a talent for adjusting quickly to rapid change, with a strong sense of urgency and the ability to work well under pressure
Team Player: a reliable team member, experience in working effectively with others in a team setting, and able to take in other ideas as well as constructive criticism from team members
Commitment: the dedication to achieve goals; and to continuously improve professional and personal development
Responsibility and Initiative: a self-starter who can bring fresh ideas to the table and occasionally work independently in an efficient and responsible manner
Ability to take ownership of assigned projects within the development, testing, and maintenance phases
    Kindly note that by submitting your application for this career opportunity you agree that Guardian Recruiting may use your application for the purpose of the recruitment and selection of the said position and this information may be shared with the relevant stakeholders in the business.
Please note that only shortlisted candidates will be contacted. Should you not have heard back within a two-week period, please assume that your application was unsuccessful.
All job postings are in accordance with our Client's BEE requirements."
1,Jnr Data Privacy Compliance Analyst,Osiris Trading (Pty) Ltd,Permanent,City of Johannesburg Metropolitan Municipality,1 week ago,Full Time,"The Junior Data Privacy Compliance Analyst will responsible for assisting with managing and implementing the Data Privacy Management and Compliance Program for Osiris Trading and Betway Africa (including all Betway License holders in Africa), in light of evolving business needs and internal and industry risks, in alignment with the Osiris Trading Data Privacy and Digital Strategies, supporting and reporting to the Data Privacy Specialist.This position must help manage, coordinate, train and capacitate, guide implementation, record, administrate, monitor, review, research, report and communicate relating to the Osiris Trading Data Privacy Management function, across the Betway Africa Group.The Junior Data Privacy Compliance Analyst will assist in cultivating an environment where associates and business partners respect and adhere to company standards of integrity and ethics and protection of personal information, while developing and leveraging internal and external partnerships and networks to achieve business goals.
  Duties will include but are not limited to:
• Serves as a Junior Data Privacy Compliance Analyst, supporting the Data Privacy Specialist.
• Working with the Privacy Specialist, and aligned to the vision of the organization, recommends and implements goals and initiatives (including short, medium and long-term performance targets).
• Assists to plan, manage and monitor the effective implementation of the Data Privacy Management Program.
• Assists to manage, analyse and report on the Data Privacy Management objectives, operations and customer needs.
• Assist to manage, monitor, report on and recommend process and system improvements and communicates effectively to achieve awareness.
• Assists to manage the implementation and alignment of data privacy strategies, plans and practices into business.
• Assists to manage, monitor and support the operational implementation and effectiveness of the market standards and policies into and relating to the Data Privacy Management program and planning, including legislative requirements, national and international standards and best practices.
• Assist to manage, monitor, review, research and develop and continually improve Data Privacy performance.
• Analyses feedback from all stakeholders to identify potential risk areas and assist the business to develop mitigating and control action plans.
• Manages and evaluates operational processes and makes strategic recommendations to the Privacy Specialist to ensure compliance.
• Manages adaptability of the Data Privacy Management function and planning and supports continuous learning and development opportunities.
• Assists the Privacy Specialist with providing technical guidance to relevant business stakeholders.
• Assists to manage and coordinate Incident Management.
• Maintains procedures, tools and systems relating to the Data Privacy Management function.
• Compiles and provides inputs to regular reports relating to the Data Privacy Management function that contribute to greater Ethics and Compliance and maintains data points/KPI’s"
2,Data Analyst - Finance,Prosperitas Personnel,Permanent,Johannesburg,1 week ago,Full Time,"Reports and distributes weekly and monthly data
Full FP&A function with analysis.
Analyse pricing and costing measures.
Data analysis and forecasting experience is non-negotiable."
3,Data Analyst,Six Sense Consulting,Permanent,JHB - Western Suburbs,1 week ago,Full Time,"SKILLS & QUALIFICATIONS:
Matric / Grade 12
Internal systems experience (Swordfish,FileFish, etc)
Minimum Industry Experience 5 years

Programming knowledge 
Microsoft Office (Excel, Word,
PowerPoint & Outlook) 
FileZilla / WinSCP 
Microsoft Office (VBA, Access, Visio)
Power BI
MySQL 
Graphana 

DUTIES & RESPONSIBILITIES:
Processing daily, weekly, monthly, and ad hoc client reports
Compiling and analyxing client and internal data
Presenting data in tables and charts
Create, enhance, and maintain custom Excel templates
Gathering and analyxing data from various sources
Identifying data discrepancies between different systems
Preparation of pay over schedules internally and to client’s systems
Ensure data integrity
Work closely with management to prioritize business and information needs
Support – assisting management, call centre and other staff with data related requests

Please note that if you have not received a response within 14 days of submitting your application that your application was unsuccessful. 
However, please keep a lookout on our website, www.sixsense.co.za for available positions which may be inline with your career aspirations."
4,Finance Analyst / Data Analyst,Time Personnel,Fixed Term,CPT - CBD,1 week ago,Full Time,"REQUIREMENTS
Matric and Tertiary qualification
Minimum five years experience in Finance data capturing and analysing of figures
Excellent accuracy
ADVANCED Excel
Attention to detail and meticulous work ethic
Love dealing with numbers in volumes daily
Enjoy financial figures and process driven
Analytical and deadline target driven
Must have a critical eye to conduct first level checks
 
DUTIES
Data capture in volumetric numbers
Analyse volumes
Checking stock numbers for accuracy
Looking at input – correcting format
Manage and ensure that volumetric discrepancies are sorted
Managing all data capturing processes
Meeting deadlines as set out by Management
Collation of data on supply chain operations
Analyse data to identify areas of supply chain operations that needs to be rectified
Execute project to enhance general operations
Ensure reports are updated
 
Salary: R30k, negotiable dependent on experience
 
Join us on SOCIAL MEDIA or visit our WEBSITE for more information. See links below.
 
Follow us on Facebook
 
Follow us on LinkedIn
 
Visit our Website"
5,Data Analyst Manager,Network Recruitment - Finance Corporate,Permanent,Midrand,1 week ago,Full Time,"Job & Company Description:     
My client is an American multinational magnate that has been in the consumer products industry since the 19th century. This global concern is actively looking for a top Data Analytics Manager to spearhead the team to greater heights. The qualified incumbent will be tasked to lead and coach a team of analysts, over and above maintaining the mission and values of the company. If your analytical abilities are coupled by strong leadership skills - then apply now!

Duties:
Collecting data by conducting surveys, tracking visitor characteristics on company website
Communicating results of your findings by putting together visualizations
Creating and designing the structures of a database
Troubleshoot security network problems
 
Apply with Moagi today!

Job Experience & Skills Required:

Qualifications:
Completed BCom degree in Information Systems or related field is required
Completed CISA qualification will be advantageous.
Experience:
Minimum 4 - 6 years’ work experience in similar field is required.
 
 
If you are interested in this opportunity, please apply directly.  For more finance jobs, please visit www.networkrecruitment.co.za
 
If you have not had any response in two weeks, please consider the vacancy application unsuccessful. Your profile will be kept on our database for any other suitable roles / positions.
 
For more information contact:
Moagi Kgaphola
Specialist Consultant: Chartered Accountants, Audit, Risk and Compliance
012 348 4940"
6,Senior Data Analyst,Network Finance,Permanent,Johannesburg East,1 day ago,Full Time,"Job Description:
A leading diversified Group in Southern Africa is looking for a Senior Data Analyst/BI Developer who will report to the department Manager and support the BI team through data-driven analysis.

Your role will involve designing and building BI solutions to extract data and will require strong ETL background.
 
Skills:
Report development using Power BI
Strong technical skills in SQL, SSRS, SSIS
Code writing
Data Warehousing
 
Requirements:
At lease 5 years ETL/BI  Dev experience
Power BI, SQL, SSIS
A degree in IT, Mathematics, Computer Science or similar
 
 

 
012 361 3475"
7,Jnr Data Analyst,Six Sense Consulting,Permanent,JHB - Western Suburbs,1 week ago,Full Time,"SKILLS & QUALIFICATIONS:
Matric / Grade 12
Internal systems experience (Swordfish, FileFish, etc)
Minimum Industry Experience 2-3 years
Programming knowledge 
Microsoft Office (Excel, Word,PowerPoint & Outlook) 
FileZilla / WinSCP 
Microsoft Office (VBA, Access, Visio)
Power BI 
MySQL
Graphana
DUTIES & RESPONSIBILITIES:
Presenting data in tables and charts
Gathering and analysing data from various sources
Identifying data discrepancies between different systems
Ensure data integrity
Work closely with Senior analysts to prioritize business and information needs
Support – assisting Senior analysts, call centre and other staff with data related requests
Please note that if you have not received a response within 14 days of submitting your application that your application was unsuccessful. 
However, please keep a lookout on our website, www.sixsense.co.za for available positions which may be inline with your career aspirations."
8,Data Analyst/Statistician (DBN) (HLR7397),Helen Lucre Resourcing (Pty) Ltd.,Permanent,Durban,17 hours ago,Full Time,"Work within a team, apply statistical modelling and data analytic techniques to provide meaningful insight into Clients operations."
9,Data Analyst,Exceed Human Resource Consultants,Permanent,Stellenbosch,1 week ago,Full Time,"Work within a team, apply statistical modelling and data analytic techniques to provide meaningful insight into Clients operations."
