,Job Title,Position,qualifications,qualification types,skills,Company,Locations,Contract Type,Job Type,Date
0,Data Analyst,Mid,"computer science, information system",Bachelor's Degree,"sql, excel",Express Employment Professionals SA - Midrand,Pretoria,Permanent,Full Time,2022-07-10
1,,junior,,Bachelor's Degree,,Osiris Trading (Pty) Ltd,Johannesburg,Permanent,Full Time,2022-07-05
2,Data Analyst,Mid,,Bachelor's Degree,,Prosperitas Personnel,Johannesburg,Permanent,Full Time,2022-07-05
3,Data Analyst,Mid,,Bachelor's Degree,"sql, power bi, excel",Six Sense Consulting,Johannesburg,Permanent,Full Time,2022-07-05
4,Data Analyst,Mid,,Bachelor's Degree,excel,Time Personnel,Cape Town,Fixed Term,Full Time,2022-07-05
5,Data Analyst,manager," bcom, information system",Bachelor's Degree,,Network Recruitment - Finance Corporate,Johannesburg,Permanent,Full Time,2022-07-05
6,Data Analyst,senior,"mathematics, computer science",Bachelor's Degree,"sql, power bi",Network Finance,Johannesburg,Permanent,Full Time,2022-07-11
7,Data Analyst,junior,,Bachelor's Degree,"sql, power bi, excel",Six Sense Consulting,Johannesburg,Permanent,Full Time,2022-07-05
8,Data Analyst,Mid,,Bachelor's Degree,,Helen Lucre Resourcing (Pty) Ltd.,Durban,Permanent,Full Time,2022-07-11
10,Data Analyst,senior,,Bachelor's Degree,"sql, power bi, excel",Network Finance,Johannesburg,Permanent,Full Time,2022-07-10
11,Data Analyst,Mid,,Bachelor's Degree,,MDI Consulting,Johannesburg,Permanent,Full Time,2022-07-05
13,,Mid,,Bachelor's Degree,,RMS Staffing Solutions,Johannesburg,Permanent,Full Time,2022-07-07
14,Data Analyst,senior,,Bachelor's Degree,"sql, python, tableau",Datafin IT Recruitment,Johannesburg,Permanent,Full Time,2022-07-06
15,Data Analyst,Mid,engineering,Bachelor's Degree,"power bi, excel",ManpowerGroup SA,Johannesburg,Temporary,Full Time,2022-07-06
16,Data Scientist,Mid,"mathematics, computer science, statistics, engineering, actuarial science",Post Graduate,"sql, python,  r ,  sas, java, excel",Datafin IT Recruitment,Johannesburg,Permanent,Full Time,2022-07-11
17,Data Analyst,senior,,Bachelor's Degree,,Innovative Recruitment,Johannesburg,Permanent,Full Time,2022-07-05
18,Data Analyst,junior,,Bachelor's Degree,"sql, excel",Carlysle Talent Search - Centurion,Johannesburg,Permanent,Full Time,2022-07-05
19,Data Engineer,senior,"mathematics, computer science, statistics",Bachelor's Degree,,Isisekelo Recruitment,Remote,Permanent,Full Time,2022-07-05
21,Data Scientist,Mid,,Bachelor's Degree,"sql, python, power bi,  sas",DVT,Johannesburg,Freelance,Full Time,2022-07-05
22,Data Analyst,junior,,Bachelor's Degree,,NCLC,Durban,Permanent,Full Time,2022-07-05
23,,Mid,,Post Graduate,"sql, excel",Mindworx Consulting,Johannesburg,Permanent,Full Time,2022-07-05
24,Data Analyst,junior,,Bachelor's Degree,,NCLC,Durban,Permanent,Full Time,2022-06-28
25,Business Analyst,Mid,,Bachelor's Degree,excel,Mercedes-Benz South Africa,Other,Permanent,Full Time,2022-07-09
26,,Mid,,Post Graduate,,Kingdom Personnel Professionals,Johannesburg,Permanent,Full Time,2022-07-10
27,,Mid,statistics,Bachelor's Degree,sql,Recharger,Durban,Permanent,"Full Time, Part time",2022-07-07
28,Data Scientist,Mid,,Bachelor's Degree,,Sinakho Staffshop (Pty) Ltd,Other,Permanent,Full Time,2022-07-11
30,Data Scientist,Mid,,Bachelor's Degree,,Professional Career Services - Gauteng,Johannesburg,Permanent,Full Time,2022-07-11
31,Data Scientist,Mid,,Bachelor's Degree,,Losika Consulting,Johannesburg,Fixed Term,Full Time,2022-07-10
32,Data Scientist,manager,,Bachelor's Degree,excel,Wesgro,Cape Town,"Permanent, Fixed Term",Full Time,2022-07-05
33,Data Scientist,Mid," bcom, mathematics, computer science, statistics, engineering, information technology",Bachelor's Degree,"python, java",CyberPro Consulting,Johannesburg,Fixed Term,Full Time,2022-07-09
34,,Mid,,Bachelor's Degree,,Be Different Recruitment,Johannesburg,Permanent,Full Time,2022-07-09
35,Data Scientist,senior,computer science,Bachelor's Degree,tableau,Network IT,Pretoria,Permanent,Full Time,2022-07-06
36,Data Scientist,Mid,"mathematics, statistics",Bachelor's Degree,"sql, python, excel, tableau",Datafin IT Recruitment,Cape Town,Permanent,Full Time,2022-07-05
37,Data Scientist,Mid,engineering,Bachelor's Degree,power bi,C Ahead Info Technologies,Johannesburg,Fixed Term,Full Time,2022-07-05
39,Data Scientist,Mid,,Bachelor's Degree,,ScoutIT,Remote,Permanent,Full Time,2022-07-05
40,Data Scientist,senior,"computer science, engineering",Bachelor's Degree,excel,SPECD Pty Ltd,Pretoria,Permanent,Full Time,2022-07-05
41,Data Scientist,Mid,mathematics,Bachelor's Degree,"sql, python",Salix Recruitment,Johannesburg,Permanent,Full Time,2022-07-05
42,Data Scientist,Mid,"mathematics, computer science, statistics, engineering",Post Graduate,,Datafin IT Recruitment,Johannesburg,Permanent,Full Time,2022-07-05
43,Data Scientist,senior,,Bachelor's Degree,"sql, python",Network Recruitment - Finance Corporate,Johannesburg,Permanent,Full Time,2022-06-28
48,Business Analyst,Mid,"mathematics, computer science, statistics",Bachelor's Degree,power bi,Salix Recruitment,Johannesburg,Permanent,Full Time,2022-07-07
49,Business Analyst,senior,,Bachelor's Degree,sql,Homecorp & Furnmart Head Office,Johannesburg,Permanent,Full Time,2022-07-11
50,,manager,,Bachelor's Degree,"sql, power bi, excel",Network Recruitment - Finance Corporate,Johannesburg,Permanent,Full Time,2022-06-28
51,Business Analyst,Mid,,Bachelor's Degree,excel,Top Recruitment,Cape Town,Permanent,Full Time,2022-07-05
52,,manager,,Bachelor's Degree,,Network Finance,Pretoria,Permanent,Full Time,2022-07-05
53,,Mid,,Bachelor's Degree,,IQbusiness,Johannesburg,Permanent,Full Time,2022-07-06
54,Business Analyst,Mid,engineering,Bachelor's Degree,,Networkers International SA,Cape Town,Permanent,Full Time,2022-07-05
55,Business Analyst,Mid,"mathematics, computer science, engineering",Bachelor's Degree,"sql, power bi, excel",Datafin IT Recruitment,Johannesburg,Permanent,Full Time,2022-07-05
75,,Mid,"computer science, engineering",Bachelor's Degree,excel,MECS Africa,Johannesburg,Permanent,Full Time,2022-07-11
79,Business Analyst,Mid,,Bachelor's Degree,"sql, power bi, excel",Naruti People Solutions,Johannesburg,Permanent,Full Time,2022-07-11
82,,manager,"mathematics, statistics, engineering",Bachelor's Degree,"sql, python",Network Finance,Johannesburg,Permanent,Full Time,2022-07-11
84,,Mid,,Bachelor's Degree,,Careerbox,Durban,Permanent,Full Time,2022-07-05
85,Business Analyst,Mid,"engineering, actuarial science",Bachelor's Degree,"sql, python, excel",AGA Recruitment Specialists,Cape Town,Permanent,Full Time,2022-07-07
86,Business Analyst,Mid,"mathematics, computer science, statistics",Bachelor's Degree,excel,Salix Recruitment,Pretoria,Permanent,Full Time,2022-07-07
88,Marketing Analyst,Mid,,Bachelor's Degree,,Pure Manganese Pty Ltd,Other,Permanent,Full Time,2022-07-11
89,Business Analyst,Mid,"computer science, engineering, information technology, information system",Bachelor's Degree,,Indsafri Services SA (Pty) Ltd,Johannesburg,Permanent,Full Time,2022-07-06
90,Business Analyst,Mid,"engineering, information system",Bachelor's Degree,sql,Communicate Central Finance,Johannesburg,Permanent,Full Time,2022-07-05
